Crates ordered by Layer (0-N) with Usage Counts:
  adler2: Layer 0, Usage Count: 0
  unicode-segmentation: Layer 0, Usage Count: 0
  unicode-width: Layer 0, Usage Count: 2
  unicode-xid: Layer 0, Usage Count: 0
  utf8_iter: Layer 0, Usage Count: 0
  utf8parse: Layer 0, Usage Count: 2
  valuable: Layer 0, Usage Count: 0
  vcpkg: Layer 0, Usage Count: 0
  version_check: Layer 0, Usage Count: 0
  wasi: Layer 0, Usage Count: 0
  windows-link: Layer 0, Usage Count: 0
  windows_aarch64_gnullvm: Layer 0, Usage Count: 0
  windows_aarch64_msvc: Layer 0, Usage Count: 0
  windows_i686_gnu: Layer 0, Usage Count: 0
  windows_i686_gnullvm: Layer 0, Usage Count: 0
  windows_i686_msvc: Layer 0, Usage Count: 0
  windows_x86_64_gnu: Layer 0, Usage Count: 0
  windows_x86_64_gnullvm: Layer 0, Usage Count: 0
  windows_x86_64_msvc: Layer 0, Usage Count: 0
  wit-bindgen: Layer 0, Usage Count: 0
  writeable: Layer 0, Usage Count: 2
  zeroize: Layer 0, Usage Count: 7
  addr2line: Layer 1, Usage Count: 0
  aho-corasick: Layer 1, Usage Count: 0
  android_system_properties: Layer 1, Usage Count: 0
  annotate-snippets: Layer 1, Usage Count: 1
  anstyle-parse: Layer 1, Usage Count: 1
  bitmaps: Layer 1, Usage Count: 2
  convert_case: Layer 1, Usage Count: 1
  core-foundation: Layer 1, Usage Count: 0
  cpufeatures: Layer 1, Usage Count: 3
  crc32fast: Layer 1, Usage Count: 0
  crossbeam-channel: Layer 1, Usage Count: 1
  crossbeam-epoch: Layer 1, Usage Count: 1
  encoding_rs: Layer 1, Usage Count: 0
  form_urlencoded: Layer 1, Usage Count: 1
  generic-array: Layer 1, Usage Count: 6
  hash32: Layer 1, Usage Count: 2
  http-auth: Layer 1, Usage Count: 0
  itertools: Layer 1, Usage Count: 1
  jiff-tzdb-platform: Layer 1, Usage Count: 0
  kstring: Layer 1, Usage Count: 0
  libloading: Layer 1, Usage Count: 1
  lock_api: Layer 1, Usage Count: 1
  memmap2: Layer 1, Usage Count: 0
  miniz_oxide: Layer 1, Usage Count: 2
  nom: Layer 1, Usage Count: 1
  num-traits: Layer 1, Usage Count: 0
  num_threads: Layer 1, Usage Count: 0
  objc2: Layer 1, Usage Count: 0
  object: Layer 1, Usage Count: 0
  once_cell_polyfill: Layer 1, Usage Count: 0
  orion: Layer 1, Usage Count: 0
  pem-rfc7468: Layer 1, Usage Count: 2
  pest: Layer 1, Usage Count: 5
  portable-atomic-util: Layer 1, Usage Count: 0
  proc-macro2: Layer 1, Usage Count: 0
  security-framework-sys: Layer 1, Usage Count: 0
  sharded-slab: Layer 1, Usage Count: 0
  thread_local: Layer 1, Usage Count: 0
  time-macros: Layer 1, Usage Count: 2
  tiny-keccak: Layer 1, Usage Count: 0
  tinyvec: Layer 1, Usage Count: 0
  tracing-core: Layer 1, Usage Count: 4
  wasip2: Layer 1, Usage Count: 0
  wasm-bindgen-shared: Layer 1, Usage Count: 0
  windows-targets: Layer 1, Usage Count: 0
  winnow: Layer 1, Usage Count: 5
  backtrace: Layer 2, Usage Count: 0
  block-buffer: Layer 2, Usage Count: 2
  block2: Layer 2, Usage Count: 0
  crossbeam-deque: Layer 2, Usage Count: 1
  crypto-common: Layer 2, Usage Count: 2
  der: Layer 2, Usage Count: 4
  heapless: Layer 2, Usage Count: 1
  ordered-float: Layer 2, Usage Count: 1
  quote: Layer 2, Usage Count: 0
  regex-automata: Layer 2, Usage Count: 5
  sized-chunks: Layer 2, Usage Count: 1
  toml_parser: Layer 2, Usage Count: 1
  tracing-log: Layer 2, Usage Count: 1
  unicode-normalization: Layer 2, Usage Count: 0
  windows-sys: Layer 2, Usage Count: 0
  anstyle-query: Layer 3, Usage Count: 1
  anstyle-wincon: Layer 3, Usage Count: 0
  anyhow: Layer 3, Usage Count: 0
  digest: Layer 3, Usage Count: 7
  errno: Layer 3, Usage Count: 0
  home: Layer 3, Usage Count: 2
  is_executable: Layer 3, Usage Count: 0
  matchers: Layer 3, Usage Count: 0
  miow: Layer 3, Usage Count: 0
  normpath: Layer 3, Usage Count: 0
  nu-ansi-term: Layer 3, Usage Count: 0
  proc-macro-error-attr2: Layer 3, Usage Count: 0
  regex: Layer 3, Usage Count: 0
  schannel: Layer 3, Usage Count: 0
  socket2: Layer 3, Usage Count: 1
  spki: Layer 3, Usage Count: 2
  syn: Layer 3, Usage Count: 0
  winapi-util: Layer 3, Usage Count: 0
  anstream: Layer 4, Usage Count: 2
  async-trait: Layer 4, Usage Count: 1
  clap_derive: Layer 4, Usage Count: 1
  color-print-proc-macro: Layer 4, Usage Count: 1
  displaydoc: Layer 4, Usage Count: 5
  hmac: Layer 4, Usage Count: 3
  jiff-static: Layer 4, Usage Count: 0
  maybe-async: Layer 4, Usage Count: 1
  pkcs8: Layer 4, Usage Count: 2
  proc-macro-error2: Layer 4, Usage Count: 0
  same-file: Layer 4, Usage Count: 0
  serde_derive: Layer 4, Usage Count: 4
  sha1: Layer 4, Usage Count: 1
  sha2: Layer 4, Usage Count: 5
  synstructure: Layer 4, Usage Count: 0
  thiserror-impl: Layer 4, Usage Count: 2
  tracing-attributes: Layer 4, Usage Count: 1
  wasm-bindgen-macro-support: Layer 4, Usage Count: 0
  zerocopy-derive: Layer 4, Usage Count: 0
  zerovec-derive: Layer 4, Usage Count: 1
  color-print: Layer 5, Usage Count: 1
  hkdf: Layer 5, Usage Count: 1
  pest_meta: Layer 5, Usage Count: 1
  rfc6979: Layer 5, Usage Count: 1
  sec1: Layer 5, Usage Count: 1
  serde_core: Layer 5, Usage Count: 13
  thiserror: Layer 5, Usage Count: 2
  tracing: Layer 5, Usage Count: 4
  walkdir: Layer 5, Usage Count: 0
  wasm-bindgen-macro: Layer 5, Usage Count: 0
  yoke-derive: Layer 5, Usage Count: 1
  zerocopy: Layer 5, Usage Count: 0
  zerofrom-derive: Layer 5, Usage Count: 1
  ahash: Layer 6, Usage Count: 1
  bitflags: Layer 6, Usage Count: 0
  defmt-parser: Layer 6, Usage Count: 0
  gix-bitmap: Layer 6, Usage Count: 1
  gix-chunk: Layer 6, Usage Count: 2
  jiff: Layer 6, Usage Count: 0
  pest_generator: Layer 6, Usage Count: 1
  ppv-lite86: Layer 6, Usage Count: 1
  serde: Layer 6, Usage Count: 21
  tracing-subscriber: Layer 6, Usage Count: 2
  wasm-bindgen: Layer 6, Usage Count: 0
  zerofrom: Layer 6, Usage Count: 5
  bstr: Layer 7, Usage Count: 0
  cargo-platform: Layer 7, Usage Count: 2
  defmt-macros: Layer 7, Usage Count: 0
  dispatch2: Layer 7, Usage Count: 0
  erased-serde: Layer 7, Usage Count: 0
  js-sys: Layer 7, Usage Count: 0
  nix: Layer 7, Usage Count: 1
  pest_derive: Layer 7, Usage Count: 2
  redox_syscall: Layer 7, Usage Count: 0
  ron: Layer 7, Usage Count: 1
  rustix: Layer 7, Usage Count: 2
  security-framework: Layer 7, Usage Count: 0
  semver: Layer 7, Usage Count: 0
  serde-value: Layer 7, Usage Count: 0
  serde_ignored: Layer 7, Usage Count: 1
  serde_json: Layer 7, Usage Count: 8
  serde_spanned: Layer 7, Usage Count: 3
  toml_datetime: Layer 7, Usage Count: 3
  yoke: Layer 7, Usage Count: 4
  getrandom: Layer 8, Usage Count: 3
  gix-date: Layer 8, Usage Count: 9
  gix-utils: Layer 8, Usage Count: 12
  gix-validate: Layer 8, Usage Count: 7
  globset: Layer 8, Usage Count: 1
  json5: Layer 8, Usage Count: 0
  libredox: Layer 8, Usage Count: 0
  objc2-core-foundation: Layer 8, Usage Count: 0
  parking_lot_core: Layer 8, Usage Count: 2
  rustfix: Layer 8, Usage Count: 1
  serde-untagged: Layer 8, Usage Count: 0
  terminal_size: Layer 8, Usage Count: 1
  tracing-chrome: Layer 8, Usage Count: 1
  zerotrie: Layer 8, Usage Count: 2
  zerovec: Layer 8, Usage Count: 7
  clap_builder: Layer 9, Usage Count: 0
  const-random-macro: Layer 9, Usage Count: 1
  ed25519-compact: Layer 9, Usage Count: 0
  filetime: Layer 9, Usage Count: 0
  gix-actor: Layer 9, Usage Count: 3
  gix-path: Layer 9, Usage Count: 19
  gix-quote: Layer 9, Usage Count: 4
  hashbrown: Layer 9, Usage Count: 7
  ignore: Layer 9, Usage Count: 3
  jobserver: Layer 9, Usage Count: 0
  objc2-foundation: Layer 9, Usage Count: 0
  objc2-io-surface: Layer 9, Usage Count: 0
  parking_lot: Layer 9, Usage Count: 0
  potential_utf: Layer 9, Usage Count: 1
  rand_core: Layer 9, Usage Count: 11
  tempfile: Layer 9, Usage Count: 0
  tinystr: Layer 9, Usage Count: 1
  cargo-util: Layer 10, Usage Count: 1
  cc: Layer 10, Usage Count: 0
  clap: Layer 10, Usage Count: 0
  const-random: Layer 10, Usage Count: 1
  crypto-bigint: Layer 10, Usage Count: 1
  dashmap: Layer 10, Usage Count: 0
  ff: Layer 10, Usage Count: 0
  gix-command: Layer 10, Usage Count: 5
  gix-config-value: Layer 10, Usage Count: 4
  gix-sec: Layer 10, Usage Count: 5
  globwalk: Layer 10, Usage Count: 0
  hashlink: Layer 10, Usage Count: 2
  icu_collections: Layer 10, Usage Count: 2
  icu_locale_core: Layer 10, Usage Count: 2
  indexmap: Layer 10, Usage Count: 0
  lru: Layer 10, Usage Count: 0
  objc2-cloud-kit: Layer 10, Usage Count: 0
  objc2-core-data: Layer 10, Usage Count: 0
  objc2-core-graphics: Layer 10, Usage Count: 0
  objc2-core-image: Layer 10, Usage Count: 0
  objc2-core-location: Layer 10, Usage Count: 0
  objc2-quartz-core: Layer 10, Usage Count: 0
  objc2-user-notifications: Layer 10, Usage Count: 0
  prodash: Layer 10, Usage Count: 2
  rand_chacha: Layer 10, Usage Count: 1
  rand_xoshiro: Layer 10, Usage Count: 1
  signature: Layer 10, Usage Count: 1
  tar: Layer 10, Usage Count: 0
  blake3: Layer 11, Usage Count: 1
  clap_complete: Layer 11, Usage Count: 2
  dlv-list: Layer 11, Usage Count: 2
  gix-prompt: Layer 11, Usage Count: 2
  group: Layer 11, Usage Count: 0
  icu_provider: Layer 11, Usage Count: 2
  im-rc: Layer 11, Usage Count: 1
  libdbus-sys: Layer 11, Usage Count: 0
  libnghttp2-sys: Layer 11, Usage Count: 1
  libsqlite3-sys: Layer 11, Usage Count: 1
  libz-sys: Layer 11, Usage Count: 0
  objc2-core-text: Layer 11, Usage Count: 0
  openssl-sys: Layer 11, Usage Count: 5
  rand: Layer 11, Usage Count: 6
  tera: Layer 11, Usage Count: 0
  toml_edit: Layer 11, Usage Count: 2
  yaml-rust2: Layer 11, Usage Count: 0
  curl-sys: Layer 12, Usage Count: 2
  dbus: Layer 12, Usage Count: 0
  elliptic-curve: Layer 12, Usage Count: 3
  flate2: Layer 12, Usage Count: 0
  icu_properties: Layer 12, Usage Count: 1
  libssh2-sys: Layer 12, Usage Count: 1
  objc2-ui-kit: Layer 12, Usage Count: 0
  ordered-multimap: Layer 12, Usage Count: 2
  quickcheck: Layer 12, Usage Count: 0
  rusqlite: Layer 12, Usage Count: 1
  toml: Layer 12, Usage Count: 4
  curl: Layer 13, Usage Count: 4
  deranged: Layer 13, Usage Count: 2
  ecdsa: Layer 13, Usage Count: 1
  icu_normalizer: Layer 13, Usage Count: 1
  libgit2-sys: Layer 13, Usage Count: 2
  opener: Layer 13, Usage Count: 1
  os_info: Layer 13, Usage Count: 1
  primeorder: Layer 13, Usage Count: 1
  rust-ini: Layer 13, Usage Count: 1
  config: Layer 14, Usage Count: 0
  idna_adapter: Layer 14, Usage Count: 0
  p384: Layer 14, Usage Count: 1
  time: Layer 14, Usage Count: 3
  cargo-credential: Layer 15, Usage Count: 2
  idna: Layer 15, Usage Count: 1
  pasetors: Layer 15, Usage Count: 0
  cargo-credential-libsecret: Layer 16, Usage Count: 1
  cargo-credential-macos-keychain: Layer 16, Usage Count: 0
  cargo-credential-wincred: Layer 16, Usage Count: 0
  url: Layer 16, Usage Count: 6
  cargo-util-schemas: Layer 17, Usage Count: 1
  cargo-vendormod: Layer 17, Usage Count: 0
  crates-io: Layer 17, Usage Count: 1
  git2: Layer 17, Usage Count: 2
  repo_manager: Layer 17, Usage Count: 0
  cargo: Layer 18, Usage Count: 1
  cargo-repo-sync: Layer 18, Usage Count: 0
  cargo2nix: Layer 18, Usage Count: 1
  defmt: Layer 18, Usage Count: 0
  faster-hex: Layer 18, Usage Count: 3
  git2-curl: Layer 18, Usage Count: 1
  gix: Layer 18, Usage Count: 1
  gix-attributes: Layer 18, Usage Count: 4
  gix-commitgraph: Layer 18, Usage Count: 5
  gix-config: Layer 18, Usage Count: 2
  gix-credentials: Layer 18, Usage Count: 3
  gix-diff: Layer 18, Usage Count: 1
  gix-dir: Layer 18, Usage Count: 1
  gix-discover: Layer 18, Usage Count: 2
  gix-features: Layer 18, Usage Count: 14
  gix-filter: Layer 18, Usage Count: 1
  gix-fs: Layer 18, Usage Count: 8
  gix-glob: Layer 18, Usage Count: 6
  gix-hash: Layer 18, Usage Count: 20
  gix-hashtable: Layer 18, Usage Count: 6
  gix-ignore: Layer 18, Usage Count: 3
  gix-index: Layer 18, Usage Count: 3
  gix-lock: Layer 18, Usage Count: 5
  gix-negotiate: Layer 18, Usage Count: 2
  gix-object: Layer 18, Usage Count: 14
  gix-odb: Layer 18, Usage Count: 1
  gix-pack: Layer 18, Usage Count: 2
  gix-packetline: Layer 18, Usage Count: 1
  gix-packetline-blocking: Layer 18, Usage Count: 1
  gix-pathspec: Layer 18, Usage Count: 3
  gix-protocol: Layer 18, Usage Count: 1
  gix-ref: Layer 18, Usage Count: 4
  gix-refspec: Layer 18, Usage Count: 3
  gix-revision: Layer 18, Usage Count: 2
  gix-revwalk: Layer 18, Usage Count: 5
  gix-shallow: Layer 18, Usage Count: 2
  gix-submodule: Layer 18, Usage Count: 1
  gix-tempfile: Layer 18, Usage Count: 4
  gix-transport: Layer 18, Usage Count: 2
  gix-traverse: Layer 18, Usage Count: 2
  gix-url: Layer 18, Usage Count: 4
  gix-worktree: Layer 18, Usage Count: 2

Clustered by Layer (0-N) with Usage Counts:
Layer 0 (Total modules: 118):
  - adler2, Usage Count: 0
  - allocator-api2, Usage Count: 2
  - anstyle, Usage Count: 4
  - arc-swap, Usage Count: 0
  - arraydeque, Usage Count: 0
  - arrayref, Usage Count: 0
  - arrayvec, Usage Count: 0
  - autocfg, Usage Count: 0
  - base16ct, Usage Count: 2
  - base64, Usage Count: 3
  - base64ct, Usage Count: 1
  - bumpalo, Usage Count: 0
  - byteorder, Usage Count: 0
  - bytes, Usage Count: 0
  - bytesize, Usage Count: 1
  - cfg-if, Usage Count: 0
  - cfg_aliases, Usage Count: 0
  - clap_lex, Usage Count: 1
  - clru, Usage Count: 0
  - colorchoice, Usage Count: 1
  - colorify, Usage Count: 0
  - const-oid, Usage Count: 2
  - constant_time_eq, Usage Count: 1
  - core-foundation-sys, Usage Count: 0
  - crossbeam-utils, Usage Count: 4
  - crunchy, Usage Count: 0
  - ct-codecs, Usage Count: 0
  - dunce, Usage Count: 0
  - either, Usage Count: 0
  - equivalent, Usage Count: 0
  - fallible-iterator, Usage Count: 0
  - fallible-streaming-iterator, Usage Count: 0
  - fastrand, Usage Count: 0
  - fiat-crypto, Usage Count: 1
  - find-msvc-tools, Usage Count: 0
  - fnv, Usage Count: 0
  - foldhash, Usage Count: 1
  - gimli, Usage Count: 0
  - gix-trace, Usage Count: 12
  - glob, Usage Count: 0
  - heck, Usage Count: 0
  - hex, Usage Count: 0
  - humantime, Usage Count: 1
  - icu_normalizer_data, Usage Count: 1
  - icu_properties_data, Usage Count: 1
  - is_terminal_polyfill, Usage Count: 0
  - itoa, Usage Count: 0
  - jiff-tzdb, Usage Count: 0
  - lazy_static, Usage Count: 2
  - lazycell, Usage Count: 0
  - libc, Usage Count: 32
  - linux-raw-sys, Usage Count: 2
  - litemap, Usage Count: 1
  - log, Usage Count: 0
  - md5, Usage Count: 0
  - memchr, Usage Count: 0
  - minimal-lexical, Usage Count: 0
  - num-conv, Usage Count: 4
  - objc2-encode, Usage Count: 0
  - once_cell, Usage Count: 0
  - openssl-probe, Usage Count: 0
  - pathdiff, Usage Count: 0
  - percent-encoding, Usage Count: 4
  - pin-project-lite, Usage Count: 0
  - pkg-config, Usage Count: 0
  - portable-atomic, Usage Count: 0
  - powerfmt, Usage Count: 3
  - r-efi, Usage Count: 0
  - regex-syntax, Usage Count: 2
  - rustc-demangle, Usage Count: 0
  - rustc-hash, Usage Count: 0
  - rustc-stable-hash, Usage Count: 0
  - rustversion, Usage Count: 0
  - ryu, Usage Count: 0
  - scopeguard, Usage Count: 0
  - sha1_smol, Usage Count: 1
  - shell-escape, Usage Count: 0
  - shell-words, Usage Count: 0
  - shlex, Usage Count: 0
  - simd-adler32, Usage Count: 0
  - smallvec, Usage Count: 17
  - stable_deref_trait, Usage Count: 0
  - static_assertions, Usage Count: 1
  - strsim, Usage Count: 0
  - subtle, Usage Count: 0
  - supports-hyperlinks, Usage Count: 0
  - supports-unicode, Usage Count: 0
  - time-core, Usage Count: 4
  - tinyvec_macros, Usage Count: 0
  - toml_write, Usage Count: 1
  - toml_writer, Usage Count: 1
  - typeid, Usage Count: 0
  - typenum, Usage Count: 0
  - ucd-trie, Usage Count: 1
  - unicase, Usage Count: 0
  - unicode-bom, Usage Count: 3
  - unicode-ident, Usage Count: 0
  - unicode-segmentation, Usage Count: 0
  - unicode-width, Usage Count: 2
  - unicode-xid, Usage Count: 0
  - utf8_iter, Usage Count: 0
  - utf8parse, Usage Count: 2
  - valuable, Usage Count: 0
  - vcpkg, Usage Count: 0
  - version_check, Usage Count: 0
  - wasi, Usage Count: 0
  - windows-link, Usage Count: 0
  - windows_aarch64_gnullvm, Usage Count: 0
  - windows_aarch64_msvc, Usage Count: 0
  - windows_i686_gnu, Usage Count: 0
  - windows_i686_gnullvm, Usage Count: 0
  - windows_i686_msvc, Usage Count: 0
  - windows_x86_64_gnu, Usage Count: 0
  - windows_x86_64_gnullvm, Usage Count: 0
  - windows_x86_64_msvc, Usage Count: 0
  - wit-bindgen, Usage Count: 0
  - writeable, Usage Count: 2
  - zeroize, Usage Count: 7
Layer 1 (Total modules: 46):
  - addr2line, Usage Count: 0
  - aho-corasick, Usage Count: 0
  - android_system_properties, Usage Count: 0
  - annotate-snippets, Usage Count: 1
  - anstyle-parse, Usage Count: 1
  - bitmaps, Usage Count: 2
  - convert_case, Usage Count: 1
  - core-foundation, Usage Count: 0
  - cpufeatures, Usage Count: 3
  - crc32fast, Usage Count: 0
  - crossbeam-channel, Usage Count: 1
  - crossbeam-epoch, Usage Count: 1
  - encoding_rs, Usage Count: 0
  - form_urlencoded, Usage Count: 1
  - generic-array, Usage Count: 6
  - hash32, Usage Count: 2
  - http-auth, Usage Count: 0
  - itertools, Usage Count: 1
  - jiff-tzdb-platform, Usage Count: 0
  - kstring, Usage Count: 0
  - libloading, Usage Count: 1
  - lock_api, Usage Count: 1
  - memmap2, Usage Count: 0
  - miniz_oxide, Usage Count: 2
  - nom, Usage Count: 1
  - num-traits, Usage Count: 0
  - num_threads, Usage Count: 0
  - objc2, Usage Count: 0
  - object, Usage Count: 0
  - once_cell_polyfill, Usage Count: 0
  - orion, Usage Count: 0
  - pem-rfc7468, Usage Count: 2
  - pest, Usage Count: 5
  - portable-atomic-util, Usage Count: 0
  - proc-macro2, Usage Count: 0
  - security-framework-sys, Usage Count: 0
  - sharded-slab, Usage Count: 0
  - thread_local, Usage Count: 0
  - time-macros, Usage Count: 2
  - tiny-keccak, Usage Count: 0
  - tinyvec, Usage Count: 0
  - tracing-core, Usage Count: 4
  - wasip2, Usage Count: 0
  - wasm-bindgen-shared, Usage Count: 0
  - windows-targets, Usage Count: 0
  - winnow, Usage Count: 5
Layer 2 (Total modules: 15):
  - backtrace, Usage Count: 0
  - block-buffer, Usage Count: 2
  - block2, Usage Count: 0
  - crossbeam-deque, Usage Count: 1
  - crypto-common, Usage Count: 2
  - der, Usage Count: 4
  - heapless, Usage Count: 1
  - ordered-float, Usage Count: 1
  - quote, Usage Count: 0
  - regex-automata, Usage Count: 5
  - sized-chunks, Usage Count: 1
  - toml_parser, Usage Count: 1
  - tracing-log, Usage Count: 1
  - unicode-normalization, Usage Count: 0
  - windows-sys, Usage Count: 0
Layer 3 (Total modules: 18):
  - anstyle-query, Usage Count: 1
  - anstyle-wincon, Usage Count: 0
  - anyhow, Usage Count: 0
  - digest, Usage Count: 7
  - errno, Usage Count: 0
  - home, Usage Count: 2
  - is_executable, Usage Count: 0
  - matchers, Usage Count: 0
  - miow, Usage Count: 0
  - normpath, Usage Count: 0
  - nu-ansi-term, Usage Count: 0
  - proc-macro-error-attr2, Usage Count: 0
  - regex, Usage Count: 0
  - schannel, Usage Count: 0
  - socket2, Usage Count: 1
  - spki, Usage Count: 2
  - syn, Usage Count: 0
  - winapi-util, Usage Count: 0
Layer 4 (Total modules: 20):
  - anstream, Usage Count: 2
  - async-trait, Usage Count: 1
  - clap_derive, Usage Count: 1
  - color-print-proc-macro, Usage Count: 1
  - displaydoc, Usage Count: 5
  - hmac, Usage Count: 3
  - jiff-static, Usage Count: 0
  - maybe-async, Usage Count: 1
  - pkcs8, Usage Count: 2
  - proc-macro-error2, Usage Count: 0
  - same-file, Usage Count: 0
  - serde_derive, Usage Count: 4
  - sha1, Usage Count: 1
  - sha2, Usage Count: 5
  - synstructure, Usage Count: 0
  - thiserror-impl, Usage Count: 2
  - tracing-attributes, Usage Count: 1
  - wasm-bindgen-macro-support, Usage Count: 0
  - zerocopy-derive, Usage Count: 0
  - zerovec-derive, Usage Count: 1
Layer 5 (Total modules: 13):
  - color-print, Usage Count: 1
  - hkdf, Usage Count: 1
  - pest_meta, Usage Count: 1
  - rfc6979, Usage Count: 1
  - sec1, Usage Count: 1
  - serde_core, Usage Count: 13
  - thiserror, Usage Count: 2
  - tracing, Usage Count: 4
  - walkdir, Usage Count: 0
  - wasm-bindgen-macro, Usage Count: 0
  - yoke-derive, Usage Count: 1
  - zerocopy, Usage Count: 0
  - zerofrom-derive, Usage Count: 1
Layer 6 (Total modules: 12):
  - ahash, Usage Count: 1
  - bitflags, Usage Count: 0
  - defmt-parser, Usage Count: 0
  - gix-bitmap, Usage Count: 1
  - gix-chunk, Usage Count: 2
  - jiff, Usage Count: 0
  - pest_generator, Usage Count: 1
  - ppv-lite86, Usage Count: 1
  - serde, Usage Count: 21
  - tracing-subscriber, Usage Count: 2
  - wasm-bindgen, Usage Count: 0
  - zerofrom, Usage Count: 5
Layer 7 (Total modules: 19):
  - bstr, Usage Count: 0
  - cargo-platform, Usage Count: 2
  - defmt-macros, Usage Count: 0
  - dispatch2, Usage Count: 0
  - erased-serde, Usage Count: 0
  - js-sys, Usage Count: 0
  - nix, Usage Count: 1
  - pest_derive, Usage Count: 2
  - redox_syscall, Usage Count: 0
  - ron, Usage Count: 1
  - rustix, Usage Count: 2
  - security-framework, Usage Count: 0
  - semver, Usage Count: 0
  - serde-value, Usage Count: 0
  - serde_ignored, Usage Count: 1
  - serde_json, Usage Count: 8
  - serde_spanned, Usage Count: 3
  - toml_datetime, Usage Count: 3
  - yoke, Usage Count: 4
Layer 8 (Total modules: 15):
  - getrandom, Usage Count: 3
  - gix-date, Usage Count: 9
  - gix-utils, Usage Count: 12
  - gix-validate, Usage Count: 7
  - globset, Usage Count: 1
  - json5, Usage Count: 0
